1. id: prod-apple-macbook-air-m2 | cat: laptops | brand: Apple | name: Apple MacBook Air M2 | img: assets/products/macbook_front.jpg
2. id: prod-apple-iphone-15 | cat: smartphones | brand: Apple | name: Apple iPhone 15 | img: assets/products/iphone_front.jpg
3. id: prod-sony-wh-1000xm5 | cat: audio | brand: Sony | name: Sony WH-1000XM5 | img: assets/products/sony_front.jpg
4. id: prod-nike-air-max-270 | cat: footwear | brand: Nike | name: Nike Air Max 270 | img: assets/products/nike_side.jpg
5. id: prod-apple-watch-series-10 | cat: watches | brand: Apple | name: Apple Watch Series 10 | img: assets/products/watch_front.jpg
6. id: prod-dyson-v15-detect | cat: home-living | brand: Dyson | name: Dyson V15 Detect Cordless Vacuum | img: https://images.unsplash.com/photo-1558317374-067fb5f30001?auto=format&fit=crop&w=800&q=80
7. id: prod-apple-macbook-air-m3 | cat: laptops | brand: Apple | name: Apple MacBook Air M3 | img: https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=800&q=80
8. id: prod-apple-macbook-pro-14-m3 | cat: laptops | brand: Apple | name: Apple MacBook Pro 14" M3 Pro | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
9. id: prod-apple-macbook-pro-16-m3 | cat: laptops | brand: Apple | name: Apple MacBook Pro 16" M3 Max | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
10. id: prod-dell-xps-13-9340 | cat: laptops | brand: Dell | name: Dell XPS 13 (9340) | img: https://images.unsplash.com/photo-1593642632823-8f785ba67e45?auto=format&fit=crop&w=800&q=80
11. id: prod-dell-xps-14-9440 | cat: laptops | brand: Dell | name: Dell XPS 14 (9440) | img: https://images.unsplash.com/photo-1593642632823-8f785ba67e45?auto=format&fit=crop&w=800&q=80
12. id: prod-dell-xps-16-9640 | cat: laptops | brand: Dell | name: Dell XPS 16 (9640) | img: https://images.unsplash.com/photo-1593642632823-8f785ba67e45?auto=format&fit=crop&w=800&q=80
13. id: prod-dell-alienware-m16-r2 | cat: laptops | brand: Dell | name: Dell Alienware m16 R2 | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
